ID,"Product Type",Channel,Title,Category,RRP,"Base Price","Cost Price",Sold,Stock,Product
95752,Variation,"Topbrandoutlet-ltd, OnBuy","GANT Mens Polo Shirt Short Sleeve Casual Summer Tee Cotton Jersey Golf Sports","Polo Shirts",74.99,,9,20,128,20
95753,Variation,,"The North Face Mens T Shirt Black White Tee Round Neck",T-Shirts,39.99,13.99,5.5,0,32,10
95754,Variation,"Topbrandclearence, Woocommerce, OnBuy","ARMANI COLLEZIONI TCPJ15 Mens Chino Trouser Medium Waist Regular Fit Casual Pant","Chino Pant/Trousers",169.99,,36,0,2,2
95755,Variation,"Topbrandclearence, Woocommerce, OnBuy","ARMANI COLLEZIONI SCPJ06 Mens Chino Trousers Casual Stretch Pants Slim Fit Blue","Chino Pant/Trousers",169.99,,36,0,2,2
95756,Variation,,"test 56",Jeans,12.99,,5.99,0,0,1
95757,Variation,"Topbrandoutlet-ltd, Topbrandclearence, Woocommerce, OnBuy","ARMANI JEANS 6X6P68 Mens Chino Trousers Casual Stretch Pants Slim Fit Cotton","Chino Pant/Trousers",179.99,,36,0,19,2
95758,Variation,"Topbrandclearence, Woocommerce","ARMANI Jeans 6X6P65 Mens Chino Trousers Regular Fit Casual Wool Pants Waist Band","Chino Pant/Trousers",149.99,,36,0,7,3
95759,Variation,"Topbrandclearence, Woocommerce","ARMANI JEANS 6X6P15 Mens Chino Trousers Casual Stretch Cotton Pants Slim Fit","Chino Pant/Trousers",169.99,,36,0,5,2
95760,Variation,"Topbrandoutlet-ltd, Woocommerce","EMPORIO ARMANI RNJ65 QK Mens Jeans Comfort Denim Fabric Sexy Fit Pants Italy",Jeans,249.99,,36,0,1,1
95761,Variation,"Topbrandoutlet-ltd, Woocommerce","EMPORIO ARMANI CNS01 JF Mens Chino Shorts Casual Summer Bermuda Shorts Navy",Shorts,119.99,,36,0,1,1
95762,Variation,"Topbrandoutlet-ltd, Woocommerce","DIESEL TEPPHAR 084EH Mens Jeans Denim Slim Carrot Fit Cotton Stretch Casual Pant",Jeans,189.99,,5,0,1,1
95763,Variation,Woocommerce,"DIESEL SAFADO 0838D Mens Denim Jean Casual Stretch Regular Slim Straight Trouser",Jeans,179.99,,5,1,0,1
95765,Variation,"Topbrandclearence, Woocommerce","DIESEL THOMMER 084KW Mens Jeans Denim Slim Skinny Fit Casual Pant",Jeans,179.99,,5,1,0,1
95767,Variation,"Topbrandclearence, Topbrandoutlet-ltd","ALCOTT Mens Jumper Designer Funnel Round Neck Knitted Pullover Warm Winter Top",Jumper/Cardigans,34.99,,3.25,10,111,35
95768,Variation,"Topbrandoutlet-ltd, Topbrandclearence, Woocommerce","Womens Leggings MARIKA  Pocket High Waisted Elevate  Gym Yoga Leggings Grey",Leggings,39.99,8.99,3,6,44,5
95769,Variation,"Topbrandclearence, Topbrandoutlet-ltd, Woocommerce","ALCOTT Mens Jumper Designer Funnel Pullover Round Neck Knitted  Warm Winter Top",Jumper/Cardigans,34.99,,3.25,19,359,15
95770,Variation,"Topbrandclearence, Topbrandoutlet-ltd, Woocommerce","ALTITUDINE Mens Jumper Funnel Pullover Round Neck Knitted Warm Winter Top Wool",Jumper/Cardigans,34.99,,3.25,11,156,20
95772,Variation,"Topbrandoutlet-ltd, Topbrandclearence, Woocommerce","ALCOTT Mens Hoodie Jumper Funnel Pullover Round Neck Knitted Warm Winter",Hoodie,34.99,,3.25,2,30,20
95773,Variation,"Topbrandoutlet-ltd, Topbrandclearence, Woocommerce","Mens Full Tracksuit Set Pullover Sweatshirt Joggers Bottoms Sports Gym Trousers",Tracksuit,29.99,,8,20,244,15
95774,Variation,"Topbrandoutlet-ltd, Topbrandclearence, Woocommerce","Mens Cargo Combat Pants Work Trousers Regular Straight Fit Cotton Outwear Multi","Cargo Pants",24.99,,6,13,107,24
95775,Variation,"Topbrandoutlet-ltd, Woocommerce","ARMANI JEANS 6X6T96 Mens T Shirt Crew Neck Eagle Logo Casual AJ Cotton Tee Navy",T-Shirts,89.99,,36,0,1,1
95776,Variation,"Topbrandoutlet-ltd, Woocommerce","ARMANI COLLEZIONI TCPJ15 Mens Chino Trousers Regular Fit Casual Pants Formal","Chino Pant/Trousers",169.99,,36,0,4,4
95777,Variation,"Topbrandoutlet-ltd, Woocommerce, OnBuy","ARMANI COLLEZIONI SCPJ15 Mens Chino Trousers Stretch Regular Fit Comfort Cotton","Chino Pant/Trousers",169.99,,36,0,6,4
95778,Variation,"Topbrandclearence, Topbrandoutlet-ltd, Woocommerce","ALCOTT Mens High Roll Neck Winter Jumper Funnel Knitted Pullover Wool Top",Jumper/Cardigans,44.99,,3.25,1,79,4
95780,Variation,"Topbrandoutlet-ltd, Woocommerce","NIKE Mens Club Hoodie Jogger Full Tracksuit Fleece Black Zip Hoody Modern Sports",Tracksuit,,,,17,35,12
95781,Variation,"Topbrandclearence, Topbrandoutlet-ltd, Woocommerce","Mens Pyjama Bottom Pants Cotton Woven Check Stripe Loungewear PJs Soft Sleepwear",Pyjamas,14.99,,1.6,204,304,100
95783,Variation,"Topbrandoutlet-ltd, Topbrandclearence, Woocommerce","Abercrombie & Fitch Womens Jacket Vegan Leather Faux Suede Moto Biker Winter A&F",Jackets/Coats,98.99,,20,0,23,5
95784,Variation,"Topbrandoutlet-ltd, Topbrandclearence, Woocommerce","Abercrombie & Fitch Womens Leather Jacket Vegan Faux Moto Biker Winter A&F Black",Jackets/Coats,98.99,,20,0,19,6
95785,Variation,"Topbrandoutlet-ltd, Topbrandclearence, Woocommerce","Abercrombie & Fitch Womens Leather Biker Jacket Vegan Perforated Moto A&F Black",Jackets/Coats,129.99,,20,0,23,4
95786,Variation,"Topbrandoutlet-ltd, Topbrandclearence, Woocommerce","HOLLISTER Womens COZY Biker Jacket Moto Warm Winter Fur Top Casual Zipped XS - L",Jackets/Coats,64.99,,20,0,7,6
95787,Variation,"Topbrandclearence, Topbrandoutlet-ltd, Woocommerce","ALCOTT Mens Jumper Funnel Round Neck Knitted Contrast Pullover Warm Winter Top",Jumper/Cardigans,,,,0,148,30
